Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
2544, 128, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2568, 129, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2584, 130, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2608, 131, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2624, 132, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2648, 133, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2664, 134, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2688, 135, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 179300, 
2704, 136, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 172500, 
2728, 137, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 172500, 
2744, 138, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 172500, 
2768, 139, 154300, 197200, 215500, 171000, 215700, 189000, 247500, 172500, 
2784, 140, 154300, 197200, 214500, 171000, 215700, 189000, 247500, 172500, 
2808, 141, 154300, 197200, 214500, 171000, 215700, 189000, 247500, 172500, 
2824, 142, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2848, 143, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2864, 144, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2888, 145, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2904, 146, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2928, 147, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2944, 148, 154300, 197200, 214500, 171000, 215200, 189000, 247500, 172500, 
2968, 149, 154300, 197200, 214500, 171000, 215200, 186100, 247500, 172500, 
2984, 150, 154300, 197200, 214500, 171000, 215200, 186100, 247500, 172500, 
3008, 151, 154300, 197200, 214500, 171000, 215200, 186100, 247500, 172500, 
3024, 152, 154300, 197200, 214500, 171000, 215200, 186100, 247500, 172500, 
3048, 153, 154300, 197200, 214500, 171000, 215200, 186100, 247500, 172500, 
3064, 154, 154300, 193100, 214500, 171000, 215200, 186100, 247500, 172500, 
3088, 155, 154300, 193100, 214500, 171000, 215200, 186100, 247500, 172500, 
3104, 156, 154300, 193100, 214500, 171000, 215200, 186100, 247500, 172500, 
3128, 157, 145200, 193100, 214500, 171000, 215200, 186100, 247500, 172500, 
3144, 158, 145200, 193100, 214500, 171000, 215200, 186100, 247500, 172500, 
3168, 159, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500, 
3184, 160, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500, 
3208, 161, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500, 
3224, 162, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500, 
3248, 163, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500, 
3264, 164, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500, 
3288, 165, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 171500, 
3304, 166, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 171500, 
3328, 167, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 171500, 
3344, 168, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 171500, 
3368, 169, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 171500, 
3384, 170, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 171500, 
3408, 171, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 171500, 
