//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
99	S-dNAM03-1d-W-B02	c.ProbeBvar c.T TT d-dNAM03-1d-W-B02
100	S-dNAM03-1d-W-B03	c.ProbeBvar c.T TT d-dNAM03-1d-W-B03
101	S-dNAM03-1d-W-B04	c.ProbeBvar c.T TT d-dNAM03-1d-W-B04
102	S-dNAM03-1d-W-B05	c.ProbeBvar c.T TT d-dNAM03-1d-W-B05
103	S-dNAM03-1d-W-B06	c.ProbeBvar c.T TT d-dNAM03-1d-W-B06
104	S-dNAM03-1d-W-B07	c.ProbeBvar c.T TT d-dNAM03-1d-W-B07
105	S-dNAM03-1d-W-B08	c.ProbeBvar c.T TT d-dNAM03-1d-W-B08
106	S-dNAM03-1d-W-B09	c.ProbeBvar c.T TT d-dNAM03-1d-W-B09
107	S-dNAM03-1d-W-B10	c.ProbeBvar c.T TT d-dNAM03-1d-W-B10
108	S-dNAM03-1d-W-B11	c.ProbeBvar c.T TT d-dNAM03-1d-W-B11
109	S-dNAM03-1d-W-B12	c.ProbeBvar c.T TT d-dNAM03-1d-W-B12
110	S-dNAM03-1d-W-B13	c.ProbeBvar c.T TT d-dNAM03-1d-W-B13
111	S-dNAM03-1d-W-B14	c.ProbeBvar c.T TT d-dNAM03-1d-W-B14
112	S-dNAM03-1d-W-B15	c.ProbeBvar c.T TT d-dNAM03-1d-W-B15
113	S-dNAM03-1d-W-B16	c.ProbeBvar c.T TT d-dNAM03-1d-W-B16
114	S-dNAM03-1d-W-B17	c.ProbeBvar c.T TT d-dNAM03-1d-W-B17
115	S-dNAM03-1d-W-B18	c.ProbeBvar c.T TT d-dNAM03-1d-W-B18
116	S-dNAM03-1d-W-B19	c.ProbeBvar c.T TT d-dNAM03-1d-W-B19
117	S-dNAM03-1d-W-B20	c.ProbeBvar c.T TT d-dNAM03-1d-W-B20
118	S-dNAM03-1d-W-B21	c.ProbeBvar c.T TT d-dNAM03-1d-W-B21
119	S-dNAM03-1d-W-B22	c.ProbeBvar c.T TT d-dNAM03-1d-W-B22
120	S-dNAM03-1d-W-B23	c.ProbeBvar c.T TT d-dNAM03-1d-W-B23
121	S-dNAM03-1d-W-B24	c.ProbeBvar c.T TT d-dNAM03-1d-W-B24
122	S-dNAM03-1d-W-B25	c.ProbeBvar c.T TT d-dNAM03-1d-W-B25
123	S-dNAM03-1d-W-B26	c.ProbeBvar c.T TT d-dNAM03-1d-W-B26
124	S-dNAM03-1d-W-B27	c.ProbeBvar c.T TT d-dNAM03-1d-W-B27
125	S-dNAM03-1d-W-B28	c.ProbeBvar c.T TT d-dNAM03-1d-W-B28
126	S-dNAM03-1d-W-B29	c.ProbeBvar c.T TT d-dNAM03-1d-W-B29
127	S-dNAM03-1d-W-B30	c.ProbeBvar c.T TT d-dNAM03-1d-W-B30
128	S-dNAM03-1d-W-B31	c.ProbeBvar c.T TT d-dNAM03-1d-W-B31
129	S-dNAM03-1d-W-B32	c.ProbeBvar c.T TT d-dNAM03-1d-W-B32
130	S-dNAM03-1d-W-B33	c.ProbeBvar c.T TT d-dNAM03-1d-W-B33
131	S-dNAM03-1d-W-B34	c.ProbeBvar c.T TT d-dNAM03-1d-W-B34
